Month,Date,Voucher No,Voucher Type,Party Name,CV Group,Party Group,Party Location,CITY,Party Order No,Party Order Date,Product Name,DESCRIPTION,Product Group,Category,Product Sub Category,Product Brand,Device Brand,COLOR,Device Model,Billed Qty,Billed Rate,Assessable Value,Landed Rate,Landed Amount,VatCst,Sales Retn Qty,Sales Retn Rate,Sales Retn Amt,Net Amount,GST Tax %,CGST Amt,SGST Amt,IGST Amt,GST Tax Amt,Gross Sale,Net Qty,MRP,Discount,Return Discount,Scheme,Vertical,FY,MOVINGSTATUS,ASM,TYPE,STOCK,MOQ,Docket No,Docket Date,POD,Day,Avg Pur Rate,Godown,Avg Pur Amount
Apr,4-Apr-26,NE/B/00030/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,1KZLXOVT,4-Apr-26,PRIMUSBLK,USB4 Cable 1.8Mtr,Common Accessories,Cables,Primus,Stuffcool,Common,Black,Universal,200,465.68,93136,,,,,,,93136,18,8382.24,8382.24,0,16764.48,"1,09,900.48",200,2999,,,,Online,2026-2027,,Online,Cable,,,0,4-Apr-26,,2026-04-04,483.395,Bhiwandi1,96679
Apr,4-Apr-26,NE/B/00031/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3MH4UEKL,4-Apr-26,WCZENO65WWHT,Zeno 65 Wall Charger Type-C Port With Retractable Type-C Cable 65W + Type-C to C Cable White,Common Accessories,Chargers,Zeno 60W,Stuffcool,Common,White,Universal,150,1626.58,243987,,,,,,,243987,18,21958.83,21958.83,0,43917.66,"2,87,904.66",150,4199,,,,Online,2026-2027,,Online,Wall Charger,,,0,4-Apr-26,,2026-04-04,896.05,Bhiwandi1,134407.5
Apr,4-Apr-26,NE/B/00031/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3MH4UEKL,4-Apr-26,WCSFC65WSIL,So Far 3 Port Wall Charger 2 C +1 USB A 65W With AC Cord,Common Accessories,Chargers,So Far 65W Charger,Stuffcool,Common,Silver,Universal,69,1518.1,104748.9,,,,,,,104748.9,18,9427.4,9427.4,0,18854.8,"1,23,603.70",69,3499,,,,Online,2026-2027,,Online,Wall Charger,,,0,4-Apr-26,,2026-04-04,970.45,Bhiwandi1,66961.05
Apr,4-Apr-26,NE/B/00031/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3MH4UEKL,4-Apr-26,WCEMP75SIL,Empire 75W Multiplug GAN Charger with World Travel Adapter,Common Accessories,Chargers,Empire,Stuffcool,Common,Silver,Universal,51,2168.95,110616.45,,,,,,,110616.45,18,9955.48,9955.48,0,19910.96,"1,30,527.41",51,4799,,,,Online,2026-2027,,Online,Wall Charger,,,0,4-Apr-26,,2026-04-04,1338.1576,Bhiwandi1,68246.0376
Apr,4-Apr-26,NE/B/00031/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3MH4UEKL,4-Apr-26,WCZENO30WWHT,Zeno Wall Charger USB-C port+Type C Cable 30W White,Common Accessories,Chargers,Zeno 30W,Stuffcool,Common,White,Universal,35,1084.2,37947,,,,,,,37947,18,3415.23,3415.23,0,6830.46,"44,777.46",35,2299,,,,Online,2026-2027,,Online,Wall Charger,,,0,4-Apr-26,,2026-04-04,509.28,Bhiwandi1,17824.8
Apr,4-Apr-26,NE/B/00031/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3MH4UEKL,4-Apr-26,DUPLOBLK,Duplo 2 In 1 Cable 140W With E-Marker Chip 1.2M,Common Accessories,Cables,2 in 1 Duplo Cable,Stuffcool,Common,Black,Universal,27,698.69,18864.63,,,,,,,18864.63,18,1697.82,1697.82,0,3395.64,"22,260.27",27,1699,,,,Online,2026-2027,,Online,Multi Cable,,,0,4-Apr-26,,2026-04-04,382.475,Bhiwandi1,10326.825
Apr,4-Apr-26,NE/B/00032/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,4-Apr-26,PBGIGAMAXGRY,"Giga Max 25,000 mAh QCPD Powerbank With Type C Cable",Common Accessories,Powerbank,Giga Max,Stuffcool,Common,Grey,Universal,120,3284.1,394092,,,,,,,394092,18,35468.28,35468.28,0,70936.56,"4,65,028.56",120,5999,,,,Online,2026-2027,,Online,Laptop Powerbank,,,0,4-Apr-26,,2026-04-04,2145.9899,Online,257518.788
Apr,4-Apr-26,NE/B/00032/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,4-Apr-26,PBGIGAGRY,65W- 20000 mAh QCPD Powerbank With Type C Cable,Common Accessories,Powerbank,Giga,Stuffcool,Common,Grey,Universal,200,2474.95,494990,,,,,,,494990,18,44549.1,44549.1,0,89098.2,"5,84,088.20",200,4999,,,,Online,2026-2027,,Online,Laptop Powerbank,,,0,4-Apr-26,,2026-04-04,1607.4452,Bhiwandi1,321489.04
Apr,4-Apr-26,NE/B/00032/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,4-Apr-26,PBODINSIL,"Odin 10,000 mAh Magnetic Qi2 Wireless Powerbank With Type C Cable",Common Accessories,Powerbank,ODIN,Stuffcool,Common,Sliver,Universal,200,2382.42,476484,,,,,,,476484,18,42883.56,42883.56,0,85767.12,"5,62,251.12",200,4499,,,,Online,2026-2027,,Online,Magsafe Powerbank,,,0,4-Apr-26,,2026-04-04,1572.6102,Bhiwandi1,314522.04
Apr,4-Apr-26,NE/B/00034/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,4-Apr-26,PBCLICK20TNM,20000mAh Magnetic Wireless Powerbank,Common Accessories,Powerbank,Click 20,Stuffcool,Common,Titanium,Universal,200,2075.68,415136,,,,,,,415136,18,37362.24,37362.24,0,74724.48,"4,89,860.48",200,3999,,,,Online,2026-2027,,Online,Magsafe Powerbank,,,.,4-Apr-26,,2026-04-04,909.7331,Bhiwandi1,181946.62
Apr,4-Apr-26,NE/B/00034/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,4-Apr-26,PBMAVERICKBLK,"Mini 22.5W- 20,000 mAh QCPD Powerbank With Two Fast Charging Cable
",Common Accessories,Powerbank,"Maverick
","Stuffcool
","Common
","Black
","Universal
",250,1219.73,304932.5,,,,,,,304932.5,18,27443.93,27443.93,0,54887.86,"3,59,820.36",250,0,,,,Online,2026-2027,,Online,QCPD Powerbank,,,.,4-Apr-26,,2026-04-04,1003.7971,Bhiwandi1,250949.275
Apr,4-Apr-26,NE/B/00034/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,4-Apr-26,PBCLICK10TNM,10000mAh Magnetic Wireless Powerbank,Common Accessories,Powerbank,Click 10,Stuffcool,Common,Titanium,Universal,100,1185.85,118585,,,,,,,118585,18,10672.65,10672.65,0,21345.3,"1,39,930.30",100,2999,,,,Online,2026-2027,,Online,Magsafe Powerbank,,,.,4-Apr-26,,2026-04-04,749.8312,Bhiwandi1,74983.12
Apr,4-Apr-26,NE/B/00034/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,4-Apr-26,PBLUCIDPLUSWHT,10000 mAh Magnetic Wireless Powerbank,Common Accessories,Powerbank,Lucid Plus,Stuffcool,Common,White,Universal,100,1779.07,177907,,,,,,,177907,18,16011.63,16011.63,0,32023.26,"2,09,930.26",100,3999,,,,Online,2026-2027,,Online,Magsafe Powerbank,,,.,4-Apr-26,,2026-04-04,769.3101,Bhiwandi1,76931.01
Apr,4-Apr-26,NE/B/00036/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,5TXMSOVM,4-Apr-26,WCZENO100WWHT,Zeno 100 3 Port desktop Charger With Retractable Type-C Cable 65W + Type C to C Cable White,Common Accessories,Chargers,Zeno 100W,Stuffcool,Common,White,Universal,100,2168.95,216895,,,,,,,216895,18,19520.55,19520.55,0,39041.1,"2,55,936.10",100,4299,,,,Online,2026-2027,,Online,Wall Charger,,,.,4-Apr-26,,2026-04-04,1540.0503,Bhiwandi1,154005.03
Apr,4-Apr-26,NE/B/00036/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,5TXMSOVM,4-Apr-26,PBAURAGLD,10000mAh Magnetic Wireless Powerbank,Common Accessories,Powerbank,Aura,Stuffcool,Common,Gold,Universal,100,2194.29,219429,,,,,,,219429,18,19748.61,19748.61,0,39497.22,"2,58,926.22",100,3999,,,,Online,2026-2027,,Online,Magsafe Powerbank,,,.,4-Apr-26,,2026-04-04,911.3589,Bhiwandi1,91135.89
Apr,11-Apr-26,NE/B/00154/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,1KZLXOVT,11-Apr-26,WCNMDPROSIL,Nomad Pro 140W -Multi Port Fast Charger With World Travel Plugs,Common Accessories,Chargers,Nomad Pro,Stuffcool,Common,Silver,Universal,50,3253.69,162684.5,,,,,,,162684.5,18,14641.61,14641.61,0,29283.22,"1,91,967.72",50,6999,,,,Online,2026-2027,,Online,Wall Charger,,,.,11-Apr-26,,2026-04-11,2298.9246,Bhiwandi1,114946.23
Apr,11-Apr-26,NE/B/00154/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,1KZLXOVT,11-Apr-26,WCZENO30WWHT,Zeno Wall Charger USB-C port+Type C Cable 30W White,Common Accessories,Chargers,Zeno 30W,Stuffcool,Common,White,Universal,11,1084.2,11926.2,,,,,,,11926.2,18,1073.36,1073.36,0,2146.72,"14,072.92",11,2299,,,,Online,2026-2027,,Online,Wall Charger,,,.,11-Apr-26,,2026-04-11,509.28,Bhiwandi1,5602.08
Apr,11-Apr-26,NE/B/00155/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3MH4UEKL,11-Apr-26,PBMAVERICKBLK,"Mini 22.5W- 20,000 mAh QCPD Powerbank With Two Fast Charging Cable
",Common Accessories,Powerbank,"Maverick
","Stuffcool
","Common
","Black
","Universal
",192,1219.73,234188.16,,,,,,,234188.16,18,21076.93,21076.93,0,42153.86,"2,76,342.02",192,0,,,,Online,2026-2027,,Online,QCPD Powerbank,,,.,11-Apr-26,,2026-04-11,1003.7971,Bhiwandi1,192729.0432
Apr,11-Apr-26,NE/B/00155/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3MH4UEKL,11-Apr-26,WCNMDPROSIL,Nomad Pro 140W -Multi Port Fast Charger With World Travel Plugs,Common Accessories,Chargers,Nomad Pro,Stuffcool,Common,Silver,Universal,76,3253.69,247280.44,,,,,,,247280.44,18,22255.24,22255.24,0,44510.48,"2,91,790.92",76,6999,,,,Online,2026-2027,,Online,Wall Charger,,,.,11-Apr-26,,2026-04-11,2298.9246,Bhiwandi1,174718.2696
Apr,11-Apr-26,NE/B/00155/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3MH4UEKL,11-Apr-26,WCJTPRO70WSIL,JetSet Pro - Four Port World Travel Adaptor Built In 70W Charger,Common Accessories,Chargers,World Travel Charger,Stuffcool,Common,Silver,Universal,2,1789.29,3578.58,,,,,,,3578.58,18,322.07,322.07,0,644.14,"4,222.72",2,4999,,,,Online,2026-2027,,Online,Wall Charger,,,.,11-Apr-26,,2026-04-11,1050.58,Bhiwandi1,2101.16
Apr,11-Apr-26,NE/B/00156/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,11-Apr-26,PBGIGAMAXGRY,"Giga Max 25,000 mAh QCPD Powerbank With Type C Cable",Common Accessories,Powerbank,Giga Max,Stuffcool,Common,Grey,Universal,100,3284.1,328410,,,,,,,328410,18,29556.9,29556.9,0,59113.8,"3,87,523.80",100,5999,,,,Online,2026-2027,,Online,Laptop Powerbank,,,.,11-Apr-26,,2026-04-11,2145.9899,Online,214598.99
Apr,11-Apr-26,NE/B/00156/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,11-Apr-26,PBGIGAGRY,65W- 20000 mAh QCPD Powerbank With Type C Cable,Common Accessories,Powerbank,Giga,Stuffcool,Common,Grey,Universal,150,2474.95,371242.5,,,,,,,371242.5,18,33411.83,33411.83,0,66823.66,"4,38,066.16",150,4999,,,,Online,2026-2027,,Online,Laptop Powerbank,,,.,11-Apr-26,,2026-04-11,1607.4452,Bhiwandi1,241116.78
Apr,11-Apr-26,NE/B/00156/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,11-Apr-26,PBLUCIDPLUSWHT,10000 mAh Magnetic Wireless Powerbank,Common Accessories,Powerbank,Lucid Plus,Stuffcool,Common,White,Universal,100,1779.07,177907,,,,,,,177907,18,16011.63,16011.63,0,32023.26,"2,09,930.26",100,3999,,,,Online,2026-2027,,Online,Magsafe Powerbank,,,.,11-Apr-26,,2026-04-11,769.3101,Bhiwandi1,76931.01
Apr,11-Apr-26,NE/B/00157/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,5TXMSOVM,11-Apr-26,WCNUMEN65WHT,Numen 65 3 Port Wall Charger 2 Type C-PD + USB A White,Common Accessories,Chargers,Numen 65W,Stuffcool,Common,White,Universal,200,1138.44,227688,,,,,,,227688,18,20491.92,20491.92,0,40983.84,"2,68,671.84",200,2499,,,,Online,2026-2027,,Online,Wall Charger,,,.,11-Apr-26,,2026-04-11,572.5901,Bhiwandi1,114518.02
Apr,11-Apr-26,NE/B/00158/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,67WP8J9H,11-Apr-26,WCNMDPROSIL,Nomad Pro 140W -Multi Port Fast Charger With World Travel Plugs,Common Accessories,Chargers,Nomad Pro,Stuffcool,Common,Silver,Universal,48,3253.69,156177.12,,,,,,,156177.12,18,14055.94,14055.94,0,28111.88,"1,84,289.00",48,6999,,,,Online,2026-2027,,Online,Wall Charger,,,.,11-Apr-26,,2026-04-11,2298.9246,Bhiwandi1,110348.3808
Apr,11-Apr-26,NE/B/00159/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,6A53MLRN,11-Apr-26,WCNMDPROSIL,Nomad Pro 140W -Multi Port Fast Charger With World Travel Plugs,Common Accessories,Chargers,Nomad Pro,Stuffcool,Common,Silver,Universal,78,3253.69,253787.82,,,,,,,253787.82,18,22840.9,22840.9,0,45681.8,"2,99,469.62",78,6999,,,,Online,2026-2027,,Online,Wall Charger,,,.,11-Apr-26,,2026-04-11,2298.9246,Bhiwandi1,179316.1188
Apr,11-Apr-26,NE/B/00159/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,6A53MLRN,11-Apr-26,WCNMDIIWHT,Nomad II -Multi Port Fast Charger With World Travel Plugs,Common Accessories,Chargers,Multi Port Fast Charger With World Travel Plugs,Stuffcool,Common,White,Universal,33,2168.95,71575.35,,,,,,,71575.35,18,6441.78,6441.78,0,12883.56,"84,458.91",33,4999,,,,Online,2026-2027,,Online,Wall Charger,,,.,11-Apr-26,,2026-04-11,1438.4438,Bhiwandi1,47468.6454
Apr,11-Apr-26,NE/B/00159/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,6A53MLRN,11-Apr-26,WCSFC65WSIL,So Far 3 Port Wall Charger 2 C +1 USB A 65W With AC Cord,Common Accessories,Chargers,So Far 65W Charger,Stuffcool,Common,Silver,Universal,27,1518.1,40988.7,,,,,,,40988.7,18,3688.98,3688.98,0,7377.96,"48,366.66",27,3499,,,,Online,2026-2027,,Online,Wall Charger,,,.,11-Apr-26,,2026-04-11,970.45,Bhiwandi1,26202.15
Apr,11-Apr-26,NE/B/00159/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,6A53MLRN,11-Apr-26,WCEMP75SIL,Empire 75W Multiplug GAN Charger with World Travel Adapter,Common Accessories,Chargers,Empire,Stuffcool,Common,Silver,Universal,26,2168.95,56392.7,,,,,,,56392.7,18,5075.34,5075.34,0,10150.68,"66,543.38",26,4799,,,,Online,2026-2027,,Online,Wall Charger,,,.,11-Apr-26,,2026-04-11,1338.1576,Bhiwandi1,34792.0976
Apr,11-Apr-26,NE/B/00159/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,6A53MLRN,11-Apr-26,WCJTPRO70WSIL,JetSet Pro - Four Port World Travel Adaptor Built In 70W Charger,Common Accessories,Chargers,World Travel Charger,Stuffcool,Common,Silver,Universal,3,1789.29,5367.87,,,,,,,5367.87,18,483.11,483.11,0,966.22,"6,334.09",3,4999,,,,Online,2026-2027,,Online,Wall Charger,,,.,11-Apr-26,,2026-04-11,1050.58,Bhiwandi1,3151.74
Apr,18-Apr-26,NE/B/00287/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,37I5VBIY,18-Apr-26,PBMAVERICKBLK,"Mini 22.5W- 20,000 mAh QCPD Powerbank With Two Fast Charging Cable
",Common Accessories,Powerbank,"Maverick
","Stuffcool
","Common
","Black
","Universal
",466,1219.73,568394.18,,,,,,,568394.18,18,51155.48,51155.48,0,102310.96,"6,70,705.14",466,0,,,,Online,2026-2027,,Online,QCPD Powerbank,,,.,18-Apr-26,,2026-04-18,1003.7971,Bhiwandi1,467769.4486
Apr,18-Apr-26,NE/B/00289/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,18-Apr-26,PBMAJORULTRASIL,65W- 20000 mAh QCPD Powerbank,Common Accessories,Powerbank,"65W- 20000 mAh QCPD Powerbank
","Stuffcool
","Common
","Silver
","Universal
",600,1601.1,960660,,,,,,,960660,18,86459.4,86459.4,0,172918.8,"11,33,578.80",600,4999,,,,Online,2026-2027,,Online,Laptop Powerbank,,,.,18-Apr-26,,2026-04-18,1354.195,Bhiwandi1,812517
Apr,18-Apr-26,NE/B/00289/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,18-Apr-26,QUADPROBLK,Quad 4 In 1 Cable 60W -- 1.5 Mtr,Common Accessories,Cables,Quad Pro Cable,Stuffcool,Common,Black,Universal,150,355.42,53313,,,,,,,53313,18,4798.17,4798.17,0,9596.34,"62,909.34",150,2999,,,,Online,2026-2027,,Online,Multi Cable,,,.,18-Apr-26,,2026-04-18,281.9374,Bhiwandi1,42290.61
Apr,18-Apr-26,NE/B/00289/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,18-Apr-26,PRIMUSBLK,USB4 Cable 1.8Mtr,Common Accessories,Cables,Primus,Stuffcool,Common,Black,Universal,120,465.68,55881.6,,,,,,,55881.6,18,5029.34,5029.34,0,10058.68,"65,940.28",120,2999,,,,Online,2026-2027,,Online,Cable,,,.,18-Apr-26,,2026-04-18,483.395,Bhiwandi1,58007.4
Apr,18-Apr-26,NE/B/00290/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,18-Apr-26,PBGIGAGRY,65W- 20000 mAh QCPD Powerbank With Type C Cable,Common Accessories,Powerbank,Giga,Stuffcool,Common,Grey,Universal,252,2474.95,623687.4,,,,,,,623687.4,18,56131.87,56131.87,0,112263.74,"7,35,951.14",252,4999,,,,Online,2026-2027,,Online,Laptop Powerbank,,,.,18-Apr-26,,2026-04-18,1607.4452,Bhiwandi1,405076.1904
Apr,18-Apr-26,NE/B/00290/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,18-Apr-26,PBMAVERICKBLK,"Mini 22.5W- 20,000 mAh QCPD Powerbank With Two Fast Charging Cable
",Common Accessories,Powerbank,"Maverick
","Stuffcool
","Common
","Black
","Universal
",190,1219.73,231748.7,,,,,,,231748.7,18,20857.38,20857.38,0,41714.76,"2,73,463.46",190,0,,,,Online,2026-2027,,Online,QCPD Powerbank,,,.,18-Apr-26,,2026-04-18,1003.7971,Bhiwandi1,190721.449
Apr,18-Apr-26,NE/B/00290/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,18-Apr-26,PBROAM20WHT,"Roam Plus  20,000 mAh QCPD powerbank",Common Accessories,Powerbank,Roam Plus,Stuffcool,Common,White,Universal,70,1067.2,74704,,,,,,,74704,18,6723.36,6723.36,0,13446.72,"88,150.72",70,3499,,,,Online,2026-2027,,Online,QCPD Powerbank,,,.,18-Apr-26,,2026-04-18,790.49,Stock Hold,55334.3
Apr,18-Apr-26,NE/B/00290/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,18-Apr-26,WCNMDPROSIL,Nomad Pro 140W -Multi Port Fast Charger With World Travel Plugs,Common Accessories,Chargers,Nomad Pro,Stuffcool,Common,Silver,Universal,36,3253.69,117132.84,,,,,,,117132.84,18,10541.96,10541.96,0,21083.92,"1,38,216.76",36,6999,,,,Online,2026-2027,,Online,Wall Charger,,,.,18-Apr-26,,2026-04-18,2298.9246,Bhiwandi1,82761.2856
Apr,18-Apr-26,NE/B/00291/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3MH4UEKL,18-Apr-26,PBCLICK10TNM,10000mAh Magnetic Wireless Powerbank,Common Accessories,Powerbank,Click 10,Stuffcool,Common,Titanium,Universal,202,1185.85,239541.7,,,,,,,239541.7,18,21558.75,21558.75,0,43117.5,"2,82,659.20",202,2999,,,,Online,2026-2027,,Online,Magsafe Powerbank,,,.,18-Apr-26,,2026-04-18,749.8312,Bhiwandi1,151465.9024
Apr,18-Apr-26,NE/B/00291/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3MH4UEKL,18-Apr-26,PBROAM20WHT,"Roam Plus  20,000 mAh QCPD powerbank",Common Accessories,Powerbank,Roam Plus,Stuffcool,Common,White,Universal,120,1067.2,128064,,,,,,,128064,18,11525.76,11525.76,0,23051.52,"1,51,115.52",120,3499,,,,Online,2026-2027,,Online,QCPD Powerbank,,,.,18-Apr-26,,2026-04-18,790.49,Stock Hold,94858.8
Apr,23-Apr-26,NE/B/00355/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,23-Apr-26,PBGIGAMAXGRY,"Giga Max 25,000 mAh QCPD Powerbank With Type C Cable",Common Accessories,Powerbank,Giga Max,Stuffcool,Common,Grey,Universal,600,3284.1,1970460,,,,,,,1970460,18,177341.4,177341.4,0,354682.8,"23,25,142.80",600,5999,,,,Online,2026-2027,,Online,Laptop Powerbank,,,.,23-Apr-26,,2026-04-23,2145.9899,Bhiwandi1,1287593.94
Apr,23-Apr-26,NE/B/00356/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,23-Apr-26,PBMAJORULTRASIL,65W- 20000 mAh QCPD Powerbank,Common Accessories,Powerbank,"65W- 20000 mAh QCPD Powerbank
","Stuffcool
","Common
","Silver
","Universal
",526,1601.1,842178.6,,,,,,,842178.6,18,75796.07,75796.07,0,151592.14,"9,93,770.74",526,4999,,,,Online,2026-2027,,Online,Laptop Powerbank,,,.,23-Apr-26,,2026-04-23,1354.195,Online,712306.57
Apr,23-Apr-26,NE/B/00356/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,3VQ7GBRH,23-Apr-26,PBCLICK20TNM,20000mAh Magnetic Wireless Powerbank,Common Accessories,Powerbank,Click 20,Stuffcool,Common,Titanium,Universal,100,2075.68,207568,,,,,,,207568,18,18681.12,18681.12,0,37362.24,"2,44,930.24",100,3999,,,,Online,2026-2027,,Online,Magsafe Powerbank,,,.,23-Apr-26,,2026-04-23,909.7331,Bhiwandi1,90973.31
Apr,23-Apr-26,NE/B/00357/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,461I3GQA,23-Apr-26,PBMAVERICKBLK,"Mini 22.5W- 20,000 mAh QCPD Powerbank With Two Fast Charging Cable
",Common Accessories,Powerbank,"Maverick
","Stuffcool
","Common
","Black
","Universal
",346,1219.73,422026.58,,,,,,,422026.58,18,37982.39,37982.39,0,75964.78,"4,97,991.36",346,0,,,,Online,2026-2027,,Online,QCPD Powerbank,,,.,23-Apr-26,,2026-04-23,1003.7971,Online,347313.7966
Apr,23-Apr-26,NE/B/00357/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,461I3GQA,23-Apr-26,WCEMP75SIL,Empire 75W Multiplug GAN Charger with World Travel Adapter,Common Accessories,Chargers,Empire,Stuffcool,Common,Silver,Universal,100,2168.95,216895,,,,,,,216895,18,19520.55,19520.55,0,39041.1,"2,55,936.10",100,4799,,,,Online,2026-2027,,Online,Wall Charger,,,.,23-Apr-26,,2026-04-23,1338.1576,Bhiwandi1,133815.76
Apr,23-Apr-26,NE/B/00357/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,461I3GQA,23-Apr-26,WCZENO100WWHT,Zeno 100 3 Port desktop Charger With Retractable Type-C Cable 65W + Type C to C Cable White,Common Accessories,Chargers,Zeno 100W,Stuffcool,Common,White,Universal,71,2168.95,153995.45,,,,,,,153995.45,18,13859.59,13859.59,0,27719.18,"1,81,714.63",71,4299,,,,Online,2026-2027,,Online,Wall Charger,,,.,23-Apr-26,,2026-04-23,1540.0503,Bhiwandi1,109343.5713
Apr,23-Apr-26,NE/B/00357/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,461I3GQA,23-Apr-26,WCNMDIIWHT,Nomad II -Multi Port Fast Charger With World Travel Plugs,Common Accessories,Chargers,Multi Port Fast Charger With World Travel Plugs,Stuffcool,Common,White,Universal,52,2168.95,112785.4,,,,,,,112785.4,18,10150.69,10150.69,0,20301.38,"1,33,086.78",52,4999,,,,Online,2026-2027,,Online,Wall Charger,,,.,23-Apr-26,,2026-04-23,1438.4438,Bhiwandi1,74799.0776
Apr,23-Apr-26,NE/B/00358/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,37I5VBIY,23-Apr-26,WCSFC65WSIL,So Far 3 Port Wall Charger 2 C +1 USB A 65W With AC Cord,Common Accessories,Chargers,So Far 65W Charger,Stuffcool,Common,Silver,Universal,70,1518.1,106267,,,,,,,106267,18,9564.03,9564.03,0,19128.06,"1,25,395.06",70,3499,,,,Online,2026-2027,,Online,Wall Charger,,,.,23-Apr-26,,2026-04-23,970.45,Bhiwandi1,67931.5
Apr,29-Apr-26,NE/B/00477/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,1IDX6ZDB,29-Apr-26,PBCLICK10TNM,10000mAh Magnetic Wireless Powerbank,Common Accessories,Powerbank,Click 10,Stuffcool,Common,Titanium,Universal,247,1185.85,292904.95,,,,,,,292904.95,18,26361.45,26361.45,0,52722.9,"3,45,627.85",247,2999,,,,Online,2026-2027,,Online,Magsafe Powerbank,,,.,30-Apr-26,,2026-04-29,749.8312,Bhiwandi1,185208.3064
Apr,29-Apr-26,NE/B/00477/26-27,Sales - MH,Cocoblu Retail Limited,Online Stores,Cocoblu,,,1IDX6ZDB,29-Apr-26,PBCLICK20TNM,20000mAh Magnetic Wireless Powerbank,Common Accessories,Powerbank,Click 20,Stuffcool,Common,Titanium,Universal,100,2075.68,207568,,,,,,,207568,18,18681.12,18681.12,0,37362.24,"2,44,930.24",100,3999,,,,Online,2026-2027,,Online,Magsafe Powerbank,,,.,30-Apr-26,,2026-04-29,909.7331,Bhiwandi1,90973.31
